ID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
NA20517:NA20517	0.039	-0.0287	0.0413	-0.0664	-0.0456	0.0145	-0.0792	0.0313	0.0624	-0.0143	-0.0033	0.0033	-0.0143	-0.0597	-0.0638	-0.0446	-0.0279	-0.0754	0.0197	0.0079
NA20518:NA20518	0.0438	0.0116	0.0327	-0.052	-0.0026	0.0673	0.0834	-0.0137	0.0147	0.0594	0.0118	0.0555	-0.0159	0.021	-0.0369	-0.001	-0.0252	0.0572	-0.0537	-0.0482
NA20519:NA20519	0.0565	-0.005	0.0197	-0.0565	0.0319	-0.0795	0.0024	0.087	0.0709	-0.0762	0.0231	0.019	0.0504	-0.1151	0.0131	0.014	-0.0557	0.0201	-0.0178	0.0296
NA20520:NA20520	0.0222	0.0124	0.0208	-0.0222	-0.0584	0.0758	0.0329	0.0285	-0.0491	-0.0209	0.0471	-0.0043	-0.0352	0.0538	-0.0684	0.0806	-0.0562	6e-04	0.0044	-0.0804
NA20521:NA20521	0.074	0.0352	0.0011	-0.0502	-0.0492	-0.0177	0.0107	0.1308	-0.0112	0.0422	-0.0542	0.0114	-0.0406	-0.0027	0.0152	0.0077	0.054	0.0324	0.1174	0.018
NA20522:NA20522	0.0714	-0.0141	0.0063	0.0546	-0.0082	-0.0435	-0.062	0.0514	-0.0265	-0.0726	0.0472	0.0043	-0.0911	0.0113	0.0139	0.0039	0.0257	-0.0307	-0.0528	-0.0637
NA20524:NA20524	0.0133	0.0087	0.0147	0.0403	-0.0774	0.0444	-0.0457	-0.001	-0.0043	-0.0371	-0.0965	0.0267	-0.0513	0.01	0.072	0.0335	0.0127	0.0303	0.0359	-0.042
NA20525:NA20525	0.0517	-0.0185	-0.0785	-0.069	-0.0178	-0.013	-0.0407	-0.0199	0.0551	-0.0041	-0.0393	-0.0289	0.0378	-0.0349	-0.0044	0.026	0.1134	0.0426	0.0414	0.1244
NA20527:NA20527	0.0777	-0.0338	0.032	-2e-04	0.0566	0.0141	0.0081	0.0084	0.045	-0.0014	0.0422	0.0071	0.0155	0.0335	0.0309	0.0707	-0.0491	0.051	-0.0646	0.0845
NA20528:NA20528	0.0215	0.0489	0.0244	0.0236	0.0788	0.0099	0.0545	0.0882	-0.0998	0.0027	-0.0348	-0.0477	0.0673	-0.0302	0.0227	-0.1122	-0.0554	0.0081	-0.0357	0.0549
NA20529:NA20529	0.0626	-0.0376	0.0191	-0.0017	0.0505	0.0087	-0.0097	-0.0591	9e-04	0.0662	0.0118	0.0344	0.0504	-0.0061	0.0024	0.0244	-0.015	-0.0681	0.025	0.0367
NA20530:NA20530	0.0487	0.0106	0.0267	0.0337	-0.0124	0.0495	0.0233	-0.0216	-0.1369	-0.0099	-0.0172	-0.07	-0.0315	-0.0358	0.059	-0.1239	0.0406	-0.0827	0.025	-0.0113
NA20531:NA20531	0.0346	-0.0184	0.0221	-0.0558	0.0021	-0.0437	-0.0901	0.0438	0.0174	0.0832	-0.0311	0.0688	0.0017	0.0545	-0.035	-0.0385	-0.0136	-0.0427	0.0474	0.0338
NA20532:NA20532	0.0555	0.0081	0.0038	-0.0727	-0.0072	0.001	0.0473	0.0237	-0.0835	-0.0087	0.0524	0.0145	-0.1096	0.0145	-0.0116	-0.0303	-0.0056	-0.0708	-0.0019	-0.0094
NA20533:NA20533	0.0475	0.0213	-0.0183	-0.0117	0.0271	-0.0135	0.062	0.0482	0.0181	-0.0403	-0.0123	0.0835	0.0102	-0.1066	0.0211	0.0646	-0.0777	-0.0269	0.0076	0.0015
NA20534:NA20534	0.0764	-0.0758	0.0246	0.0049	0.0506	-0.0598	-0.0065	-0.0152	0.0707	0.0712	0.0328	-0.0273	0.0257	-0.0183	-0.0253	-0.0623	-0.0411	0.1403	0.0227	0.0094
NA20535:NA20535	0.0072	-0.0746	0.0895	-0.0281	0.04	-0.0513	-0.0315	0.067	-0.0776	0.0161	-0.0634	0.1753	0.0809	-0.2182	-0.0658	0.1292	0.0178	-0.0506	-0.0214	-0.0235
NA20536:NA20536	0.0557	-0.007	0.0163	-0.0967	0.095	-0.0788	0.0414	0.0055	-0.0316	0.0201	0.0247	0.0157	0.0376	-0.08	-0.0316	0.0292	0.0313	-0.121	0.0429	-0.0409
NA20538:NA20538	0.078	-0.0141	0.0834	-0.0524	-0.096	0.0391	-0.0651	-0.0198	0.0449	0.0127	-0.0175	0.0078	0.0025	0.0038	0.1513	0.0996	0.0348	0.0093	-0.0148	0.0228
NA20539:NA20539	0.0664	0.0493	-0.0472	-0.105	0.0561	0.0065	-0.0102	-0.0577	0.0227	-0.039	-0.0205	0.0728	-0.0191	-0.0554	0.0496	-0.0911	-0.036	-0.0493	-0.0834	-0.0859
NA20540:NA20540	0.0553	-0.031	0.0546	-0.0444	0.0067	-0.0137	-0.0457	-0.0306	0.0569	0.0384	-0.0118	-0.0867	-0.0626	-0.0613	-0.0685	0.1675	-0.041	0.0236	-0.0038	-0.0306
NA20541:NA20541	0.0354	-0.0339	0.0348	-0.0831	-0.017	0.1095	-0.0739	-0.0415	0.0294	-0.0108	-0.0513	0.0148	-0.0206	-0.0996	0.0964	-0.0417	-0.0166	-0.0335	-0.0041	-0.0513
NA20542:NA20542	0.0461	0.0331	0.0334	0.0047	0.0327	0.0341	0.1006	-0.0715	-0.0566	-0.0335	0.0156	-0.0506	-0.0906	-0.027	0.0311	0.0132	0.0071	-0.0327	0.0209	-0.0123
