ID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
HG00096:HG00096	-0.0134	0.0336	0.0219	-0.0646	0.0303	0.0014	-0.0975	0.0197	0.0288	-0.0251	-0.0584	-0.044	-0.0722	-0.017	-0.0726	-0.0629	-0.0296	-0.0131	-0.0182	-0.0769
HG00097:HG00097	0.0268	-0.0404	-0.0501	0.0153	0.0985	0.0308	-0.0939	0.0079	-0.0264	0.0804	0.0325	0.0299	-0.0347	-0.0042	-0.0218	0.0182	0.046	-0.0464	0.0765	-0.0409
HG00099:HG00099	-0.0264	-0.0175	0.0376	0.0687	0.0088	-0.0184	-0.0098	-0.0672	-0.0532	-0.018	-0.037	0.0762	0.0348	-0.0198	-0.0298	0.0389	0.0098	0.0542	-0.0536	-0.0352
HG00100:HG00100	0.0275	0.0487	0.0479	0.03	0.0215	-4e-04	8e-04	0.0087	0.0207	0.059	0.02	-0.0513	-0.0614	-0.0441	0.0175	0.1112	0.0661	-0.0751	0.0343	0.038
HG00101:HG00101	0.0178	-0.0143	-0.0171	0.0496	0.0683	0.0212	0.0759	-0.1184	0.0711	0.0386	-0.0293	0.0161	-0.0051	-0.0068	-0.0345	0.0551	-0.0472	-0.0181	0.0086	-0.0671
HG00102:HG00102	-0.0123	0.0956	-0.0494	-0.0113	0.011	-0.0095	0.1041	-0.0439	0.0091	-0.0156	0.021	0.0156	0.0405	-0.0333	-0.0808	0.009	-0.0072	0.0383	0.052	-0.1189
HG00103:HG00103	-0.0074	0.1057	0.0689	-0.0097	0.0227	-0.0418	0.111	-0.0669	0.0079	-0.1243	0.0057	0.0222	-0.0028	0.0758	0.0126	0.0179	-0.0291	-0.0075	0.0127	0.1404
HG00105:HG00105	0.0029	0.0473	-0.07	0.1131	-0.0521	-0.026	0.0945	0.0199	-0.0383	-0.0522	-0.0338	0.0235	0.0428	-0.004	0.0125	-0.0245	-0.0306	-0.0936	-0.0506	-0.0589
HG00106:HG00106	-0.0295	0.0505	0.0696	-0.0885	0.0873	0.0151	0.0181	-0.0288	0.0448	-0.1131	-0.0411	-0.0695	-0.0554	0.0633	-0.062	0.0085	-0.0705	7e-04	0.0341	0.0396
HG00107:HG00107	0.0342	-0.0023	-0.0537	0.0192	0.0538	-0.0397	-0.0755	0.0092	0.0349	-0.112	-0.0238	0.0041	0.0052	0.0293	-0.0038	-0.0184	0.0084	0.0086	-0.0995	0.0115
HG00108:HG00108	-0.0076	-0.0089	-0.0609	0.0843	0.016	0.0433	0.0429	0.0475	-3e-04	-0.0863	0.0309	0.0575	0.0677	0.015	0.0221	-0.0196	0.0176	0.019	0.0133	-0.023
HG00109:HG00109	0.0013	0.062	-0.0247	0.0072	0.0134	0.0246	-0.0162	0.0192	0.0223	-0.0107	0.0155	0.1345	0.0301	-0.0179	0.0046	-0.0247	-0.0155	0.0689	-0.0823	1e-04
HG00110:HG00110	-0.0305	0.0981	-0.0155	4e-04	-0.025	-0.0342	-0.0085	-0.033	0.1039	8e-04	0.0371	-0.0387	-0.0511	0.0034	0.0691	-0.0435	-0.0548	-9e-04	-0.083	0.0161
HG00111:HG00111	0.0105	-0.001	-0.0489	0.1493	0.0492	-0.0894	0.0321	-0.1259	-0.0193	0.0128	-0.0233	-0.016	0.0399	0.0574	-0.0593	-0.0082	0.0327	-0.0519	-0.0192	0.0398
HG00112:HG00112	-0.0206	0.0234	0.068	0.0998	0.0054	-0.0139	0.0019	0.0287	-0.0617	-0.0012	0.0982	-0.0391	-0.126	-0.0606	0.0143	-0.0126	-0.1598	-0.053	-0.0621	-0.0455
HG00113:HG00113	0.0121	-0.028	-0.0432	0.1119	0.0015	0.0316	0.082	-0.0564	0.0244	0.0138	0.0841	0.0512	0.046	0.0456	0.0895	0.033	0.0038	0.0431	-0.0639	-0.0267
HG00114:HG00114	0.0215	0.0296	-0.1069	0.0704	0.0032	-0.0644	-0.0508	0.0738	-0.033	0.022	0.0011	0.0198	-0.0074	-0.0184	-0.0828	0.0686	0.0851	0.0051	0.0122	0.0203
HG00115:HG00115	-0.0133	-0.0517	0.0279	0.1148	0.0575	0.0202	-0.0442	0.0432	-0.0202	0.0652	0.0426	-0.0565	-0.1851	0.0188	-0.0258	-0.0525	-0.0352	0.0403	0.0773	0.0936
HG00116:HG00116	-0.0189	-0.0223	0.0959	0.1913	0.1176	-0.0806	0.0581	-0.037	0.0641	-0.0261	-0.0448	-0.1228	-0.0875	0.013	-0.0271	0.0037	-0.0088	0.0997	-0.1785	-0.0356
HG00117:HG00117	-0.0557	-0.0056	0.105	0.0644	0.0106	0.0653	0.062	0.0331	0.0423	-0.1203	-0.074	-0.0605	0.1088	0.1117	-0.0232	0.0122	-0.0854	-0.037	0.0082	0.0342
HG00118:HG00118	0.0314	-0.0061	-0.0739	-0.0602	0.0082	-0.0595	0.1017	-0.0346	-0.0218	-0.0614	0.0538	-0.0114	0.0068	-0.0181	0.0047	0.0131	-0.0319	0.0651	-0.0252	-0.0116
HG00119:HG00119	-0.0156	-0.0247	-0.0942	0.0038	-0.0087	0.003	0.0525	-5e-04	0.11	-0.0141	0.0099	-0.0376	0.002	0.0141	-0.0285	-0.0413	0.0092	0.0259	0.0202	-0.0992
HG00120:HG00120	-0.04	-0.0732	0.1486	0.221	0.1068	-0.0757	0.0285	0.0287	0.058	-0.0698	-0.1043	-0.0232	0.0143	-0.0059	-0.0767	-0.0583	0.0094	0.0432	-0.1323	-0.0363
HG00121:HG00121	-0.0152	0.0507	-0.0051	-0.0316	0.0448	0.0959	-0.0751	-0.0058	0.0171	-0.0856	-0.0237	-0.0426	0.0013	-0.0708	0.0718	-0.0221	-8e-04	0.0433	0.024	0.0118
HG00122:HG00122	2e-04	0.0351	-0.0543	0.0391	0.0454	0.0703	-0.0228	-0.0509	-0.0166	-0.0113	0.0868	0.0219	-0.0374	0.0763	-0.0395	0.0264	-0.0298	-0.0068	-0.0099	-0.0259
HG00123:HG00123	0.0139	-0.0113	-0.0351	-0.0101	0.0453	0.0133	0.0442	-0.1071	0.054	0.0418	0.0496	0.0603	0.1616	-0.0067	-0.1033	0.0185	0.0153	0.0802	0.0202	0.0605
HG00125:HG00125	-0.0049	0.0821	-9e-04	-0.0055	0.0184	0.0655	-0.002	-0.026	0.0678	0.0279	0.0624	0.0671	0.0394	-0.0611	-0.0782	-0.045	-0.0531	0.0471	-0.0114	0.0422
HG00126:HG00126	-0.0048	-0.001	0.0174	-0.0606	0.0736	0.0043	-0.0256	-0.0054	0.0153	0.0216	0.0245	0.0117	-0.0269	0.0754	-0.0088	0.0543	-0.0147	0.0405	-0.038	0.0192
HG00127:HG00127	0.004	0.1233	0.191	-0.0048	-0.0945	0.0693	-0.0904	-0.0567	0.0028	0.0248	0.0338	-0.0159	0.0256	-0.0093	0.0614	-0.0232	-0.0657	-0.0745	0.014	-0.0247
HG00128:HG00128	0.0382	-0.0091	-0.0499	0.0823	0.1032	0.0274	0.0335	-0.0048	0.0157	0.1522	0.0495	0.043	0.0482	0.1249	0.0416	-0.044	-0.148	-0.0046	-0.039	0.0175
HG00129:HG00129	0.035	0.0104	-0.0548	0.0281	0.0448	0.1139	0.0075	-0.0151	0.1272	0.0076	0.0032	-0.0628	0.0137	-0.0468	-0.0052	-0.0181	-0.0242	-0.0212	-0.0523	0.0426
HG00130:HG00130	0.0043	0.0022	0.0037	0.0973	0.0722	0.0801	0.0459	-0.0184	-0.0216	0.0799	0.0624	-0.0195	0.0545	0.0319	-0.0184	0.0423	-0.0536	-0.0058	-0.039	-0.0427
HG00131:HG00131	-0.0263	-9e-04	-0.087	0.0151	0.0538	0.0357	-0.0259	-0.097	0.0815	0.0226	-0.1347	0.1079	0.0245	0.0047	-0.0661	-0.0118	-0.0128	0.0259	0.0175	0.0673
HG00132:HG00132	0.0063	0.0642	0.0619	0.0986	-0.1807	-0.0304	0.0156	-0.038	0.0995	0.0114	-0.0902	0.0599	0.0118	-0.024	0.0668	0.0069	-0.0665	0.0498	-0.1198	-0.0242
HG00133:HG00133	0.0102	-0.0247	-0.0259	0.0361	0.0029	0.0066	0.0685	-0.0052	-0.0137	-0.0085	-0.0178	0.069	-0.0553	0.0699	0.0135	-0.0384	0.0431	0.0335	0.029	0.0646
HG00136:HG00136	-0.0166	-0.0342	0.0487	0.0377	-0.0118	0.0136	0.038	-0.0519	-0.0174	-0.0684	0.082	0.03	-9e-04	0.0331	0.0019	-0.0566	-0.0911	0.0267	0.0444	-0.0923
HG00137:HG00137	-0.0307	0.0989	0.0011	0.0483	0.0348	0.0864	0.0311	-0.0141	0.0477	0.0492	-0.0614	0.0357	0.011	0.0489	-0.0223	0.0085	0.0685	0.0785	0.0533	-0.0278
HG00138:HG00138	0.0106	-0.0397	-0.0767	0.0107	0.0327	0.065	-0.0684	0.0307	0.0155	-0.0251	-0.085	0.0062	0.0062	-0.0438	0.0224	-0.0276	-0.0211	0.0662	0.061	0.0232
HG00139:HG00139	-0.0099	-0.021	0.019	-0.0343	-0.0093	-0.017	-0.017	-0.2182	-0.0958	0.0015	0.1026	0.0307	0.0381	0.0245	0.0853	0.0174	-0.0493	0.0279	0.0577	-0.0201
HG00140:HG00140	-0.0468	-0.0019	-0.0488	0.0853	0.0176	0.0481	-0.0539	-0.0552	0.0646	0.0016	-0.0734	0.0179	-0.0087	-0.0212	-0.0378	-0.0303	0.0168	0.0564	-0.0841	0.0352
HG00141:HG00141	0.0034	-0.0914	0.0267	-0.0191	4e-04	-0.0125	0.0647	0.0244	0.0474	-0.0364	-0.0055	0.0067	-0.0226	-0.0456	-0.0276	-0.0216	-0.0568	0.0454	0.0186	-0.0311
HG00142:HG00142	0.0063	0.0172	-0.0414	0.0398	-0.0092	-0.012	-0.0515	0.0303	-0.0227	-0.0794	-0.002	-0.0565	-0.0246	0.0053	0.003	-0.0284	0.0031	-0.0267	-0.0109	0.0059
HG00143:HG00143	-0.006	-0.0367	0.0147	0.0901	-0.0557	0.0788	-0.0351	0.0011	0.0306	-0.0234	0.0449	-0.0154	-0.0164	0.0614	0.042	-0.0337	-0.0335	0.036	0.0524	-0.049
HG00145:HG00145	0.006	-0.004	0.0667	0.0774	0.092	-0.0084	0.0742	-0.0689	0.0829	0.0977	-0.0397	-0.0333	-0.141	-0.0427	-0.0127	-3e-04	0.0052	0.0185	0.0534	0.112
HG00148:HG00148	0.0236	-0.0239	-0.0022	-0.0053	-0.0249	-0.0125	-0.0746	-0.0394	-0.0807	-0.1277	0.0666	-0.1004	0.0339	0.0019	-0.0122	-0.0608	-0.0231	0.0157	0.0086	0.0227
HG00149:HG00149	0.0033	-0.07	-0.1088	0.0057	-8e-04	0.0558	-0.0489	-0.0221	0.0401	-0.0073	0.0456	0.0325	-0.0468	-0.0231	0.0378	0.1077	-0.1885	-0.0015	-0.0198	0.0113
HG00150:HG00150	0.0375	0.0907	-0.0963	-0.022	0.0463	-0.1525	0.0458	-0.0519	0.0406	0.0024	-0.0051	-0.0155	0.0798	0.0185	0.0123	0.0581	0.0378	-0.0865	0.005	0.0522
HG00151:HG00151	0.0246	0.0278	-0.0715	6e-04	0.0277	-0.0488	-0.0388	0.0053	0.0631	-0.0111	0.1105	-0.0574	0.0044	0.0274	0.0764	0.0543	0.0161	-0.0645	0.0144	-0.0576
HG00154:HG00154	-0.0172	-0.0666	-0.0779	0.0332	0.1218	0.1006	-0.0979	-0.0682	-0.0371	-0.0521	-0.007	0.0549	-0.0083	0.0215	-0.0602	-0.0528	0.0014	0.009	0.0662	0.0202
HG00157:HG00157	-0.001	-0.0242	-0.0054	0.0018	0.019	0.0616	0.0122	-0.0236	0.0312	-0.0381	0.0258	0.018	-0.0462	-0.0476	-0.0089	-0.0599	-0.0135	-0.0306	0.019	-0.0583
HG00158:HG00158	0.0194	-0.0202	-0.0055	0.1095	0.0164	0.0635	0.0214	-0.0642	-0.0526	-0.1028	0.0077	0.0058	0.0069	0.0562	-0.0067	-0.0078	0.0477	0.0444	-0.0606	-0.0578
HG00159:HG00159	-0.009	-0.0218	0.009	0.0348	-0.0631	0.0474	-0.0111	0.0207	-0.0014	-0.0424	0.0213	-0.0241	0.0105	0.0909	0.069	0.0494	0.0301	-0.0281	0.0313	-0.0273
HG00160:HG00160	0.0288	-0.0466	0.0347	0.0578	-0.0861	-0.0841	-0.0543	-0.1039	-0.0249	0.0756	-0.0871	-0.0547	0.024	0.1479	-0.0556	0.0301	0.0023	-0.0231	-0.0024	0.0663
HG00171:HG00171	-0.1051	-0.046	0.0092	0.0741	0.0146	0.0034	0.0346	-0.0654	-0.0292	0.0251	-0.0164	0.0531	-0.0133	-0.0539	-0.0205	0.0211	0.0322	0.0195	0.003	-0.0157
HG00173:HG00173	-0.1118	-0.0021	-0.0364	0.0028	0.0205	-0.0479	0.0464	0.0183	-0.0216	0.0171	0.035	0.0285	0.0325	0.0037	0.1611	0.0154	0.012	0.0759	-0.0777	0.108
HG00174:HG00174	-0.0701	-0.0064	-0.0296	-0.0013	-0.0211	-0.0613	0.0522	0.0923	-0.0817	0.0419	-0.021	0.0567	-0.0098	-0.0107	0.0811	0.034	-0.0415	0.0242	-0.0483	0.0244
HG00176:HG00176	-0.0655	-0.0326	-0.0747	-0.0971	-0.0731	0.0073	0.0033	-0.0384	0.0429	0.0478	0.056	0.0506	-0.0152	-0.0207	-0.0474	0.0148	-0.0935	-0.0323	-0.0558	0.0021
HG00177:HG00177	-0.0718	-0.0035	-0.033	0.044	-0.0516	0.1085	0.0105	-0.0268	0.0014	-0.0249	-0.0828	-0.0731	0.0175	-0.0385	0.12	0.0507	0.0449	-0.0197	-0.0349	-0.0341
HG00178:HG00178	-0.0294	-0.034	-0.0631	0.0133	0.025	0.0501	-0.1125	-0.0136	-0.0235	0.0249	-0.0331	0.0431	-0.1047	0.0114	0.0097	0.0195	-0.0872	-0.0111	0.1205	-0.0474
HG00179:HG00179	-0.0054	-0.0047	-0.0557	0.0745	0.0314	-0.0468	0.0704	0.0632	-0.0116	0.0038	0.0096	-0.0294	0.0353	0.033	0.0572	0.05	-0.1205	3e-04	0.0816	-0.0747
HG00180:HG00180	-0.0788	-0.0518	0.0667	-0.0051	-0.04	-0.0246	-0.0069	0.0138	-0.0097	-0.0272	0.003	-0.0283	-0.0127	0.0528	-0.0318	0.0651	-0.0346	-0.0127	-0.0508	-0.1192
HG00181:HG00181	0.0168	-0.0691	-0.0287	-0.0442	0.0091	0.0126	-0.0611	0.0151	-0.0414	-0.0196	0.0637	-0.0048	-0.03	0.021	0.0193	-0.0124	0.0345	-0.1276	-0.0786	0.0843
HG00182:HG00182	-0.0923	0.0406	-0.0745	-0.018	-0.0112	-0.0674	-0.0379	0.0216	0.1583	0.0148	0.0175	-0.0488	7e-04	-0.1229	0.094	-0.0224	0.0665	-0.0113	-0.003	-0.0769
HG00183:HG00183	-0.0834	-0.0645	0.0407	0.0294	0.0044	0.0037	0.0283	0.0648	0.03	0.0116	0.0572	0.0493	0.0142	0.0689	0.0808	-0.0905	-0.007	0.0075	0.016	-0.0448
HG00185:HG00185	-0.117	-0.0315	0.0375	0.0385	0.0457	0.0373	0.0389	0.0167	0.0774	-0.0071	-0.0352	-0.0202	-0.0232	-0.0707	0.0429	0.0243	-0.0469	-0.0296	0.0391	0.1035
HG00186:HG00186	-0.0965	-0.0039	-0.013	0.0618	-0.0185	-0.0628	-0.0674	0.0801	0.0993	0.0286	-0.0247	-0.0365	3e-04	0.0387	0.0999	-0.0112	-0.1179	-0.0844	7e-04	0.0124
HG00187:HG00187	-0.095	-0.0462	0.0542	-0.056	0.0097	-0.0088	0.027	-0.0725	-0.027	0.0205	0.1112	0.0551	0.0694	-0.0177	0.1715	-0.0039	0.0602	0.1311	0.0365	0.0856
HG00188:HG00188	-0.0623	-0.0646	-0.0749	-0.0363	0.006	-0.0847	0.0861	-0.014	-0.0488	-0.0374	-0.0771	-0.0248	0.0557	0.0245	0.0777	-0.0444	-0.0573	0.0193	0.1094	0.0199
HG00189:HG00189	-0.0329	-0.0516	-0.0039	-0.0579	0.1008	-0.001	-0.0092	0.0359	-0.0508	0.0403	0.0078	-0.036	-0.0126	0.027	-0.0725	-0.0992	-0.0908	0.0954	0.0276	0.0071
HG00190:HG00190	-0.0668	0.0468	-0.0671	-0.0467	-0.0392	0.047	0.0471	0.0253	-0.0288	5e-04	-0.0451	0.0375	0.0777	0.0248	-0.0389	0.0445	-0.0054	2e-04	0.059	0.0216
HG00231:HG00231	0.0073	-0.0461	-0.0177	-0.0426	0.072	0.064	-0.0216	-0.0109	-0.0603	-0.0885	-0.0022	0.0226	-0.0041	0.0168	-0.0074	-0.1066	-0.0807	-0.0883	0.0338	-0.0147
HG00232:HG00232	-0.0082	-0.0463	-0.0592	0.011	0.0342	0.0208	-0.0416	-0.0156	0.0178	-0.0498	-0.0091	-0.0805	0.0478	-0.0837	-0.0265	0.0481	-0.0567	0.0104	-0.0033	0.0037
HG00233:HG00233	-0.0123	0.0649	-0.041	8e-04	-0.0297	0.0259	0.0265	-0.0707	0.1082	0.0119	-0.0227	-0.0027	-0.0296	-0.0235	-0.035	-0.0317	-0.0082	0.021	0.0375	-0.0582
HG00234:HG00234	0.0409	0.0777	0.0184	-0.0283	0.0388	-0.0302	-0.0211	-0.074	0.0786	-0.0557	-0.0738	0.0485	-0.0748	-0.0396	-0.0268	0.1078	-0.0049	0.038	-0.0234	0.0116
HG00235:HG00235	-0.0037	0.0146	-0.0576	0.0471	0.0316	-0.0092	-0.0283	-0.019	0.0177	-0.0711	0.0191	-0.0287	-0.0273	-0.1241	-0.0886	0.0607	-0.0516	0.0221	0.0146	4e-04
HG00236:HG00236	0.0234	-0.0209	-0.0516	-0.0092	0.0192	-7e-04	0.0094	-0.0044	-5e-04	-0.0136	0.0253	0.0023	0.0123	-0.0165	0.0554	-0.0568	0.0199	-0.0427	0.0615	-0.0055
HG00237:HG00237	0.0125	0.0037	0.0132	0.045	0.0166	-0.0214	-0.0529	-0.1214	-0.0667	-0.0294	0.0298	-0.0145	-0.0265	-0.0219	-0.0556	0.0495	-0.0101	-0.1185	0.0171	0.0567
HG00238:HG00238	-0.0089	0.1778	0.0275	0.0187	-0.1057	-0.0249	-0.1218	-0.0819	-0.0396	0.0186	0.0057	-0.0018	0.0062	0.0324	-0.139	-0.1818	-0.0181	-0.0213	-0.0331	0.0481
HG00239:HG00239	0.0367	-0.0242	-9e-04	-6e-04	-0.0091	0.0022	-0.047	-0.037	-0.1006	0.068	0.0903	0.042	0.0857	0.0628	-0.083	-0.0214	-0.0179	0.0831	0.0868	-0.0631
HG00240:HG00240	0.027	-0.0691	-0.0114	0.0381	0.0254	-0.0971	-0.0192	-0.0348	0.0503	-0.0025	0.0201	0.0121	0.0181	-0.0571	-0.044	-0.0298	-0.0342	0.0166	0.0728	0.0359
HG00242:HG00242	0.0134	-0.0262	-0.0108	0.0914	0.052	0.0011	-0.1076	-0.0563	-0.0726	0.0934	0.0098	-0.0405	0.1241	-0.0327	-0.0974	0.0387	-0.0294	-0.0337	-0.0239	0.0146
HG00243:HG00243	0.0143	0.077	0.0017	0.0176	-0.0021	-0.0285	0.0214	0.0322	0.0044	0.034	0.079	-0.0113	0.001	0.0266	-0.0888	-0.036	-0.0748	0.0845	0.0955	0.0065
HG00244:HG00244	0.0041	-0.0961	-0.0609	0.0146	-0.0567	0.0384	0.0329	0.0517	0.0544	-0.0274	-0.083	0.0213	-0.073	0.103	-0.0581	-0.0042	0.0397	0.0025	-0.0302	0.0443
HG00245:HG00245	0.0194	0.0193	-0.0126	0.0791	0.0671	0.0176	0.0508	-0.0545	-0.0785	-0.0039	-0.0209	0.0138	-0.0399	0.0478	-0.0078	0.0391	-0.078	-0.1134	-0.0233	-0.0436
HG00246:HG00246	0.008	0.0169	-0.0416	0.0344	0.1175	0.0327	-0.029	0.0267	-0.0229	-0.0323	0.0213	-0.069	0.0688	-0.0318	-0.0058	-0.1211	0.0206	-0.1104	-0.0104	-0.0635
HG00250:HG00250	-0.004	0.057	0.0063	-0.0043	-0.0797	-0.087	-0.0369	0.0025	0.0471	-0.0547	-0.0366	-0.0117	-0.0206	-0.0083	-0.0101	0.0145	-0.029	0.0273	0.0109	0.0151
HG00251:HG00251	-0.0106	0.0585	-0.0122	-0.0133	0.0591	0.0811	-0.0624	0.0176	0.0435	-0.0435	0.0123	-0.1203	0.0019	-0.0605	-0.0791	0.0135	0.0918	-0.0107	-0.0528	0.0676
HG00252:HG00252	0.0156	-0.0314	-0.053	0.0136	0.0762	0.071	-0.0337	0.0666	0.1241	-0.0232	-0.0782	-0.0977	0.1088	-0.0573	-0.0147	0.0218	-0.0523	-0.0312	0.0136	0.0302
HG00253:HG00253	0.0101	0.2042	-0.0271	0.0104	0.0065	0.005	0.0379	-0.0387	0.032	-0.0201	0.0601	0.0696	0.0127	0.0089	-0.0411	0.0082	-0.0168	-0.0374	-0.0433	0.0079
HG00254:HG00254	0.0474	-0.0166	-0.0332	-0.0186	0.027	-0.0455	-0.038	-0.0596	0.0876	0.0377	0.0424	0.0699	-0.1001	0.1215	-0.0349	0.069	-0.0213	0.084	-0.0518	-0.0487
HG00255:HG00255	-3e-04	0.1653	0.0539	-0.036	0.0534	0.04	-0.0244	0.0251	-0.0031	-0.127	0.0584	0.0594	-0.1155	0.1241	0.0058	0.0436	-0.054	0.0332	0.0191	0.0735
HG00256:HG00256	0.0112	0.0095	-0.0687	0.0406	-0.0134	-0.0225	0.004	-0.0809	-0.0513	-0.0611	-0.0468	0.0186	0.0267	0.0727	0.0436	0.0652	-0.0414	-0.0853	0.0892	0.0258
HG00257:HG00257	-0.0022	0.0805	0.0182	-0.0183	0.1224	0.045	-0.0296	0.0312	-0.0014	0.056	-0.1171	0.0281	0.0277	0.0969	0.0387	-0.0765	-0.0021	7e-04	0.0158	0.0165
HG00258:HG00258	0.0015	0.0063	-0.0707	0.0393	-0.0205	0.0286	0.0489	-0.0327	0.0158	-0.0642	0.029	-0.0597	-0.0835	-0.0483	-0.0825	0.0252	0.077	0.0109	0.0034	0.0138
HG00259:HG00259	0.0198	0.0107	0.005	-0.0043	0.1028	-0.0683	0.0317	0.0574	0.0544	0.0412	-0.0622	-0.0334	0.0539	-0.0727	-0.0484	-0.0441	-0.0113	0.0037	0.0301	-0.0261
HG00260:HG00260	-0.0079	-0.0588	0.0712	0.0092	0.0083	0.063	0.0823	0.0093	0.0804	-0.0456	0.0321	0.0239	0.1112	-0.0449	-0.0831	0.0822	0.0563	0.0236	0.0387	-0.0632
HG00261:HG00261	0.0102	-0.0274	0.0928	0.0515	0.0531	0.0811	0.0255	0.0073	0.0777	0.0499	-0.0175	0.0189	-0.0043	-0.1137	0.0054	-0.0087	-0.0036	-0.1169	0.1133	-0.0022
HG00262:HG00262	-0.0061	-0.0057	0.0213	0.0228	0.0982	-0.0129	-0.0041	0.0598	-0.0825	-0.0328	-0.014	0.0349	0.0951	0.048	-0.0492	-0.0093	0.0266	-0.105	-0.0467	0.0225
HG00263:HG00263	-0.0144	0.0283	0.005	-0.0492	0.0647	0.0254	-0.0473	-0.0136	0.0496	-0.0651	-0.0478	0.0532	0.0426	0.1531	-0.0629	-0.0428	0.0065	-0.0968	0.0442	-0.0054
HG00264:HG00264	0.0079	-0.0182	-0.0359	-0.008	0.1337	0.0535	-0.032	-0.0426	0.0504	-0.1628	0.035	0.0217	0.0382	0.0709	-0.0269	-0.0403	0.0333	-0.0433	0.0535	-0.073
HG00265:HG00265	0.0421	0.0111	-0.1339	0.0164	0.0146	-0.0586	-0.0761	0.0433	0.0478	-0.0178	0.0592	0.0113	0.0729	0.1091	0.0264	0.0467	-0.0059	0.0234	-0.0886	0.0165
HG00266:HG00266	-0.06	-0.1212	0.0218	-0.0389	-0.021	0.0277	0.0809	8e-04	0.0321	-0.0527	-0.001	0.0274	-0.029	0.0504	-0.0613	0.0577	0.0905	-0.0348	-0.0338	-0.0025
HG00267:HG00267	-0.1146	0.0283	0.0541	-0.1246	0.0118	0.0739	-0.0061	0.063	-0.0373	0.0675	0.003	-0.0211	-0.0464	0.0682	-0.0471	-0.0416	0.0165	0.0194	-0.0202	-0.0262
HG00268:HG00268	0.0079	-0.0134	-0.1046	-0.0268	-0.0243	-0.0673	0.0102	0.1002	-0.0012	0.0152	0.0209	0.0216	-0.035	0.002	-0.0676	-0.0282	-0.1132	0.046	-0.0506	-0.0675
HG00269:HG00269	-0.0381	-0.0533	-0.023	-0.067	0.0082	-0.0566	-0.1362	0.0924	-0.0494	-0.0536	0.0564	-0.0314	0.0863	-0.0074	-0.0194	0.0334	-0.1027	-0.0168	-0.0083	-0.0402
HG00271:HG00271	-0.094	-0.0516	-0.0167	-0.0656	0.0754	-0.1444	-0.028	0.0464	0.0053	-0.0073	0.0037	0.0793	-0.0029	-0.0766	0.0134	0.0284	0.0929	0.0279	-9e-04	-0.014
HG00272:HG00272	-0.1065	-0.0356	0.0059	-0.11	-0.0066	-0.0551	-0.0071	-0.0176	-0.0107	0.0188	-0.064	0.012	-0.0399	0.0749	0.0499	-0.0277	-0.0633	-0.0835	-9e-04	0.0742
HG00273:HG00273	-0.0315	0.0515	-0.0938	0.0457	0.0721	-0.0627	-0.0379	-0.0646	-0.1388	-0.119	0.005	0.0455	0.0398	-0.0837	0.018	-0.0439	0.0341	-0.0398	-0.0242	0.0213
HG00274:HG00274	-0.0796	-0.0017	0.0518	0.0202	0.0155	0.0488	-0.1563	0.0206	0.078	-0.0205	0.0155	-0.0392	0.0141	0.0582	0.0181	-0.0076	0.0649	0.0141	0.0133	-0.0234
HG00275:HG00275	-0.0486	0.0747	0.0045	0.0827	-0.1038	0.0156	-0.0211	-0.023	0.0327	-0.0599	-0.0019	0.0427	0.0818	-0.0501	-5e-04	-0.0288	0.0525	0.0406	0.1289	0.0229
HG00276:HG00276	-0.0963	0.0739	-0.0639	-0.1298	-0.0559	0.0372	-0.0317	-0.0207	-0.0015	-0.0142	0.0524	-0.0382	-0.0375	-0.0271	-0.0168	-0.0369	-0.0427	0.011	-0.0821	0.0338
HG00277:HG00277	-0.0742	0.0562	-0.0205	0.0909	-0.0717	-0.0525	-0.0533	0.0622	-0.096	0.004	-0.0131	-0.0405	0.0083	0.0393	-0.0334	-0.0646	-0.0055	0.0188	-0.0442	0.0129
HG00278:HG00278	-0.1065	-0.0525	0.0241	-0.0468	0.0332	0.035	0.0397	-0.135	-0.0467	0.0404	0.0407	0.0415	-0.0919	-0.0647	-0.0051	0.0147	-0.1575	-0.0224	0.0407	-4e-04
HG00280:HG00280	-0.0945	-0.0157	0.0091	0.0128	0.0334	0.0159	-0.0659	0.0311	-0.0528	0.0306	0.0781	0.0085	-0.0571	-0.033	0.0359	-0.0343	0.0306	0.0589	-0.0858	0.0174
HG00281:HG00281	-0.1134	-0.0242	0.0819	-0.0106	0.012	0.0525	-0.019	0.0522	0.0622	0.0032	-0.0058	-0.0486	0.1571	-0.0125	0.0497	0.0563	-0.0847	0	0.0465	-0.0084
HG00282:HG00282	-0.0972	0.0439	0.0594	0.1495	0.0303	-0.0444	-0.0914	0.0023	-0.0139	0.0099	0.0827	0.1186	-0.0877	-0.0548	0.0019	-0.0333	0.0265	0.0446	0.0071	0.0229
HG00284:HG00284	-0.0681	0.0213	-0.1089	0.0696	-0.0075	6e-04	-0.0157	0.1038	-0.0301	0.0276	0.0028	-0.0073	0.0262	6e-04	-0.0425	0.0242	0.0916	0.0821	0.0182	-0.0125
HG00285:HG00285	-0.0822	-0.0947	0.1269	-0.0373	-0.0571	-0.0207	0.0495	0.0284	0.0089	-0.0819	0.06	0.0418	0.0218	0.0039	-0.0233	-0.1361	0.044	-0.0785	-0.0224	-0.045
